1,"Chuck Norris uses ribbed condoms inside out, so he gets the pleasure."
2,MacGyver can build an airplane out of gum and paper clips. Chuck Norris can kill him and take it.
3,Chuck Norris doesn't read books. He stares them down until he gets the information he wants.
4,"If you ask Chuck Norris what time it is, he always answers ""Two seconds till"". After you ask ""Two seconds to what?"", he roundhouse kicks you in the face."
5,Chuck Norris lost his virginity before his dad did.
6,"Since 1940, the year Chuck Norris was born, roundhouse kick related deaths have increased 13,000 percent."
12,Chuck Norris sheds his skin twice a year.
13,"Chuck Norris once challenged Lance Armstrong in a ""Who has more testicles?"" contest. Chuck Norris won by 5."
14,There are no steroids in baseball. Just players Chuck Norris has breathed on.
15,"When Chuck Norris goes to donate blood, he declines the syringe, and instead requests a hand gun and a bucket."
16,Pluto is actually an orbiting group of British soldiers from the American Revolution who entered space after the Chuck gave them a roundhouse kick to the face.
17,Chuck Norris does not teabag the ladies. He potato-sacks them.
18,"According to the Encyclopedia Brittanica, the Native American ""Trail of Tears"" has been redefined as anywhere that Chuck Norris walks."
19,"In an average living room there are 1,242 objects Chuck Norris could use to kill you, including the room itself."
20,"The Chuck Norris military unit was not used in the game Civilization 4, because a single Chuck Norris could defeat the entire combined nations of the world in one turn."
21,"Chuck Norris doesn't shower, he only takes blood baths."
23,Time waits for no man. Unless that man is Chuck Norris.
24,"Chuck Norris can hit you so hard that he can actually alter your DNA. Decades from now your descendants will occasionally clutch their heads and yell ""What The Hell was That?""."
25,"In the Bible, Jesus turned water into wine. But then Chuck Norris turned that wine into beer."
26,Chuck Norris is the only human being to display the Heisenberg uncertainty principle - you can never know both exactly where and how quickly he will roundhouse-kick you in the face.
27,Faster than a speeding bullet... More powerful than a locomotive... Able to leap tall buildings in a single bound... These are some of Chuck Norris's warm-up exercises.
28,Chuck Norris is not hung like a horse. Horses are hung like Chuck Norris.
29,"Teenage Mutant Ninja Turtles is based on a true story: Chuck Norris once swallowed a turtle whole, and when he crapped it out, the turtle was six feet tall and had learned karate."
30,Someone once tried to tell Chuck Norris that roundhouse kicks aren't the best way to kick someone. This has been recorded by historians as the worst mistake anyone has ever made.
31,Chuck Norris has two speeds: Walk and Kill.
33,"Chuck Norris once shot down a German fighter plane with his finger. By yelling ""Bang!"""
34,"The opening scene of the movie ""Saving Private Ryan"" is loosely based on games of dodgeball Chuck Norris played in second grade."
35,"Fool me once, shame on you. Fool Chuck Norris once and he will roundhouse kick you in the face."
36,"Chuck Norris originally appeared in the ""Street Fighter II"" video game, but was removed by Beta Testers because every button caused him to do a roundhouse kick. When asked about this glitch, Norris replied ""That's no glitch."""
37,"If you spell Chuck Norris in Scrabble, you win. Forever."
38,Someone once videotaped Chuck Norris getting pissed off. It was called Walker: Texas Chain Saw Masacre.
39,Chuck Norris will attain statehood in 2009. His state flower will be the Magnolia.
40,"A handicapped parking sign does not signify that this spot is for handicapped people. It is actually in fact a warning, that the spot belongs to Chuck Norris and that you will be handicapped if you park there."
41,Chuck Norris doesn't wash his clothes. He disembowels them.
42,Chuck Norris doesn't churn butter. He roundhouse kicks the cows and the butter comes straight out.
43,Police label anyone attacking Chuck Norris as a Code 45-11.... A suicide.
44,Chuck Norris is the only man to ever defeat a brick wall in a game of tennis.
45,What was going through the minds of all of Chuck Norris' victims before they died? His shoe.
46,Chuck Norris once ate three 72 oz. steaks in one hour. He spent the first 45 minutes having sex with his waitress.
47,"There is no theory of evolution, just a list of creatures Chuck Norris allows to live."
48,Chuck Norris can win a game of Connect Four in only three moves.
49,"CNN was originally created as the ""Chuck Norris Network"" to update Americans with on-the-spot ass kicking in real-time."
50,Chuck Norris invented Kentucky Fried Chicken's famous secret recipe with eleven herbs and spices. Nobody ever mentions the twelfth ingredient: Fear.
51,The quickest way to a man's heart is with Chuck Norris' fist.
52,"When Chuck Norris sends in his taxes, he sends blank forms and includes only a picture of himself, crouched and ready to attack. Chuck Norris has not had to pay taxes, ever."
53,Chuck Norris drives an ice cream truck covered in human skulls.
54,"If you ask Chuck Norris what time it is, he always says, ""Two seconds 'til."" After you ask, ""Two seconds 'til what?"" he roundhouse kicks you in the face."
55,Most people have 23 pairs of chromosomes. Chuck Norris has 72... and they're all poisonous.
56,The Great Wall of China was originally created to keep Chuck Norris out. It failed miserably.
57,"Chuck Norris is ten feet tall, weighs two-tons, breathes fire, and could eat a hammer and take a shotgun blast standing."
58,Crop circles are Chuck Norris' way of telling the world that sometimes corn needs to lie down.
59,"Chuck Norris once roundhouse kicked someone so hard that his foot broke the speed of light, went back in time, and killed Amelia Earhart while she was flying over the Pacific Ocean."
60,"When Chuck Norris calls 1-900 numbers, he doesn't get charged. He holds up the phone and money falls out."
61,Chuck Norris once ate a whole cake before his friends could tell him there was a stripper in it.
62,"Some people like to eat frogs' legs. Chuck Norris likes to eat lizard legs. Hence, snakes."
64,"There are no races, only countries of people Chuck Norris has beaten to different shades of black and blue."
65,"When Chuck Norris was denied an Egg McMuffin at McDonald's because it was 10:35, he roundhouse kicked the store so hard it became a Wendy's."
66,"Chuck Norris can't finish a ""color by numbers"" because his markers are filled with the blood of his victims. Unfortunately, all blood is dark red."
67,A Chuck Norris-delivered Roundhouse Kick is the preferred method of execution in 16 states.
68,"When Chuck Norris falls in water, Chuck Norris doesn't get wet. Water gets Chuck Norris."
69,Scientists have estimated that the energy given off during the Big Bang is roughly equal to 1CNRhK (Chuck Norris Roundhouse Kick).
70,"Chuck Norris' house has no doors, only walls that he walks through."
71,"When Chuck Norris has sex with a man, it won't be because he is gay. It will be because he has run out of women."
72,How much wood would a woodchuck chuck if a woodchuck could Chuck Norris? All of it.
73,"Chuck Norris doesn't actually write books, the words assemble themselves out of fear."
74,"In honor of Chuck Norris, all McDonald's in Texas have an even larger size than the super-size. When ordering, just ask to be Chucksized."
75,Chuck Norris can believe it's not butter.
76,"If tapped, a Chuck Norris roundhouse kick could power the country of Australia for 44 minutes."
77,Chuck Norris can divide by zero.
78,"The grass is always greener on the other side, unless Chuck Norris has been there. In that case the grass is most likely soaked in blood and tears."
80,"Newton's Third Law is wrong: Although it states that for each action, there is an equal and opposite reaction, there is no force equal in reaction to a Chuck Norris roundhouse kick."
81,Chuck Norris invented his own type of karate. It's called Chuck-Will-Kill.
82,"When an episode of Walker Texas Ranger was aired in France, the French surrendered to Chuck Norris just to be on the safe side."
83,"While urinating, Chuck Norris is easily capable of welding titanium."
84,"When Chuck Norris talks, everybody listens. And dies."
85,"When Steven Seagal kills a ninja, he only takes its hide. When Chuck Norris kills a ninja, he uses every part."
86,"Wilt Chamberlain claims to have slept with more than 20,000 women in his lifetime. Chuck Norris calls this ""a slow Tuesday."""
87,"Contrary to popular belief, there is indeed enough Chuck Norris to go around."
88,Chuck Norris doesnt shave; he kicks himself in the face. The only thing that can cut Chuck Norris is Chuck Norris.
89,"For some, the left testicle is larger than the right one. For Chuck Norris, each testicle is larger than the other one."
90,Chuck Norris always knows the EXACT location of Carmen SanDiego.
91,"When taking the SAT, write ""Chuck Norris"" for every answer. You will score over 8000."
92,"Chuck Norris invented black. In fact, he invented the entire spectrum of visible light. Except pink. Tom Cruise invented pink."
93,"When you're Chuck Norris, anything + anything is equal to 1. One roundhouse kick to the face."
94,"Chuck Norris has the greatest Poker-Face of all time. He won the 1983 World Series of Poker, despite holding only a Joker, a Get out of Jail Free Monopoloy card, a 2 of clubs, 7 of spades and a green #4 card from the game UNO."
95,"On his birthday, Chuck Norris randomly selects one lucky child to be thrown into the sun."
96,Nobody doesn't like Sara Lee. Except Chuck Norris.
97,Chuck Norris doesn't throw up if he drinks too much. Chuck Norris throws down!
98,"In the beginning there was nothing...then Chuck Norris Roundhouse kicked that nothing in the face and said ""Get a job"". That is the story of the universe."
99,Chuck Norris has 12 moons. One of those moons is the Earth.
100,Chuck Norris grinds his coffee with his teeth and boils the water with his own rage.
101,"Archeologists unearthed an old english dictionary dating back to the year 1236. It defined ""victim"" as ""one who has encountered Chuck Norris"""
102,"Chuck Norris ordered a Big Mac at Burger King, and got one."
103,"Chuck Norris and Mr. T walked into a bar. The bar was instantly destroyed, as that level of awesome cannot be contained in one building."
104,"If you Google search ""Chuck Norris getting his ass kicked"" you will generate zero results. It just doesn't happen."
105,Chuck Norris can drink an entire gallon of milk in thirty-seven seconds.
106,Little known medical fact: Chuck Norris invented the Caesarean section when he roundhouse-kicked his way out of his monther's womb.
107,"Chuck Norris doesn't bowl strikes, he just knocks down one pin and the other nine faint."
